Término|Nº occ esp|N(d,e)|N(d,e')|N(d',e)|Et|P(e,d)|P(d,e)|ICC
('cultivo', 'a', 'la')|1|1|1619|3|4|0.0006172839506172839|0.25|0.2|
('condición', 'clínica')|1|1|1619|13|11|0.0006172839506172839|0.07142857142857142|0.08333333333333333|
('tribunal', 'constitucional')|9|8|1612|3|3|0.0049382716049382715|0.7272727272727273|0.25|
('d.', 'luis')|3|3|1617|3|2|0.001851851851851852|0.5|0.3333333333333333|
('plan', 'mundial', 'para')|1|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
('de', 'lima-perú')|1|1|1619|27|11|0.0006172839506172839|0.03571428571428571|0.08333333333333333|
('anticoncepción', 'poscoital')|2|2|1618|4|3|0.0012345679012345679|0.3333333333333333|0.25|
('un', 'cuarto')|1|1|1619|10|7|0.0006172839506172839|0.09090909090909091|0.125|
('estudio', 'analítico')|1|1|1619|50|21|0.0006172839506172839|0.0196078431372549|0.045454545454545456|
('actas', 'urol')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('cirugía', 'urológica', '.')|1|1|1619|24|10|0.0006172839506172839|0.04|0.09090909090909091|
bibliografía|2|2|1618|231|40|0.0012345679012345679|0.008583690987124463|0.024390243902439025|
('la', 'concentración', 'diaria')|1|1|1619|0|1|0.0006172839506172839|1.0|0.5|
('estados', 'unidos')|7|7|1613|231|33|0.004320987654320987|0.029411764705882353|0.029411764705882353|
('biblioteca', 'cochrane', 'en')|1|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
(None, '7', '.')|1|1|1619|7|8|0.0006172839506172839|0.125|0.1111111111111111|
(None, None, 'dispositivo')|1|1|1619|52|22|0.0006172839506172839|0.018867924528301886|0.043478260869565216|
('evaluación', 'del', 'moco')|1|1|1619|3|4|0.0006172839506172839|0.25|0.2|
('kallmann', ':', 'reporte')|1|1|1619|3|4|0.0006172839506172839|0.25|0.2|
(':', 'un', 'compromiso')|1|1|1619|19|15|0.0006172839506172839|0.05|0.0625|
('ovular', ',', 'fertilización')|3|3|1617|5|3|0.001851851851851852|0.375|0.25|
('en', 'la', 'procrea-')|1|1|1619|4|5|0.0006172839506172839|0.2|0.16666666666666666|
('el', 'discreto', 'horror')|1|1|1619|0|1|0.0006172839506172839|1.0|0.5|
('la', 'salud', 'prostática')|1|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
('e', 'infertilidad', '.')|1|1|1619|30|11|0.0006172839506172839|0.03225806451612903|0.08333333333333333|
('jóvenes', 'mexicanos', 'con')|1|1|1619|9|7|0.0006172839506172839|0.1|0.125|
('la', 'práctica', 'de')|1|1|1619|195|39|0.0006172839506172839|0.00510204081632653|0.025|
('perifoliculares', 'en')|1|1|1619|0|1|0.0006172839506172839|1.0|0.5|
('wied.', ',')|1|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
('de', 'urología', 'del')|3|3|1617|22|10|0.001851851851851852|0.12|0.09090909090909091|
('crocodylidae', ')')|1|1|1619|3|2|0.0006172839506172839|0.25|0.3333333333333333|
('efecto', 'de', 'la')|7|7|1613|1414|45|0.004320987654320987|0.0049261083743842365|0.021739130434782608|
('controladas', ',', 'con')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
(None, 'paradigmas')|1|1|1619|8|8|0.0006172839506172839|0.1111111111111111|0.1111111111111111|
vínicas|1|1|1619|0|1|0.0006172839506172839|1.0|0.5|
('los', 'contraceptivos', None)|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
misoprostol|1|1|1619|59|13|0.0006172839506172839|0.016666666666666666|0.07142857142857142|
('los', 'injertos')|1|1|1619|124|20|0.0006172839506172839|0.008|0.047619047619047616|
('42/2010', ',', 'de')|1|1|1619|0|1|0.0006172839506172839|1.0|0.5|
('enfermedades', 'urológicas', 'de')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('de', 'gametos')|6|6|1614|5|5|0.003703703703703704|0.5454545454545454|0.16666666666666666|
('del', 'icsi')|1|1|1619|0|1|0.0006172839506172839|1.0|0.5|
('que', 'desarrolla', 'diabetes')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('nocturna', 'con', 'testosterona')|1|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
('de', 'una', 'reunión')|1|1|1619|14|12|0.0006172839506172839|0.06666666666666667|0.07692307692307693|
(None, None, 'solicitud')|1|1|1619|19|12|0.0006172839506172839|0.05|0.07692307692307693|
('tiempos', '.', None)|2|2|1618|36|17|0.0012345679012345679|0.05263157894736842|0.05555555555555555|
(None, 'concentración')|1|1|1619|115|30|0.0006172839506172839|0.008620689655172414|0.03225806451612903|
('caso', 'paradigmático', '.')|1|1|1619|3|4|0.0006172839506172839|0.25|0.2|
('t', 'de')|1|1|1619|52|24|0.0006172839506172839|0.018867924528301886|0.04|
('eclosión', 'asistida', 'en')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('sobre', 'la', 'carga')|1|1|1619|8|7|0.0006172839506172839|0.1111111111111111|0.125|
('inseminaciones', 'intrauterinas', 'para')|1|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
('mediante', 'ultrasonido', 'de')|1|1|1619|0|1|0.0006172839506172839|1.0|0.5|
alrededor|1|1|1619|19|16|0.0006172839506172839|0.05|0.058823529411764705|
('dismenorrea', '.', None)|1|1|1619|8|6|0.0006172839506172839|0.1111111111111111|0.14285714285714285|
('1907-2005', ')', '.')|2|2|1618|2|2|0.0012345679012345679|0.5|0.3333333333333333|
('en', 'honduras')|1|1|1619|77|21|0.0006172839506172839|0.01282051282051282|0.045454545454545456|
('repetida', 'a', 'icsi')|1|1|1619|3|4|0.0006172839506172839|0.25|0.2|
('con', 'sustento')|1|1|1619|0|1|0.0006172839506172839|1.0|0.5|
('introducción', 'y', 'conceptos')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('consideraciones', 'previas')|1|1|1619|9|9|0.0006172839506172839|0.1|0.1|
('grupo', 'de', 'andrología')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('2015', '.', None)|1|1|1619|196|37|0.0006172839506172839|0.005076142131979695|0.02631578947368421|
('de', 'anticonceptivos', 'en')|3|3|1617|12|11|0.001851851851851852|0.2|0.08333333333333333|
('ovocitaria', '.', None)|1|1|1619|4|5|0.0006172839506172839|0.2|0.16666666666666666|
('icsi', ')', 'en')|2|2|1618|3|4|0.0012345679012345679|0.4|0.2|
(None, 'negociando')|1|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
(None, 'maniobras', 'quirúrgicas')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('agentes', 'infecciosos')|1|1|1619|17|13|0.0006172839506172839|0.05555555555555555|0.07142857142857142|
('el', 'tema')|1|1|1619|41|26|0.0006172839506172839|0.023809523809523808|0.037037037037037035|
mediante|14|14|1606|7209|51|0.008641975308641974|0.0019382528035442337|0.019230769230769232|
('familiar', ':', 'la')|1|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
('de', '3', 'components')|1|1|1619|3|4|0.0006172839506172839|0.25|0.2|
('y', 'la', 'urología')|1|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
(None, 'diagnóstico', 'y')|3|3|1617|1082|47|0.001851851851851852|0.0027649769585253456|0.020833333333333332|
intestinoplastias|1|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
('pintor', 'de')|1|1|1619|4|5|0.0006172839506172839|0.2|0.16666666666666666|
('de', 'estudios', 'funcionales')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('a', 'arthur')|1|1|1619|6|7|0.0006172839506172839|0.14285714285714285|0.125|
controles|2|2|1618|780|41|0.0012345679012345679|0.0025575447570332483|0.023809523809523808|
('reconstructiva', 'para')|1|1|1619|5|5|0.0006172839506172839|0.16666666666666666|0.16666666666666666|
('en', 'uro-oncología', '``')|1|1|1619|3|4|0.0006172839506172839|0.25|0.2|
('fvv', ')', ':')|1|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
('selección', 'de', 'embriones')|3|3|1617|1|2|0.001851851851851852|0.75|0.3333333333333333|
('del', 'parto', 'pretérmino')|1|1|1619|12|6|0.0006172839506172839|0.07692307692307693|0.14285714285714285|
('una', 'nueva', 'función')|1|1|1619|4|4|0.0006172839506172839|0.2|0.2|
('avances', 'recientes', 'y')|1|1|1619|15|11|0.0006172839506172839|0.0625|0.08333333333333333|
('urologia', 'de', 'antaño')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('que', 'se', 'modifica')|1|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
('el', 'área', 'rural')|1|1|1619|17|8|0.0006172839506172839|0.05555555555555555|0.1111111111111111|
('ovárica', 'controlada')|8|8|1612|16|7|0.0049382716049382715|0.3333333333333333|0.125|
('embrión', ',', 'lo')|1|1|1619|4|5|0.0006172839506172839|0.2|0.16666666666666666|
('defectos', 'de')|2|2|1618|146|28|0.0012345679012345679|0.013513513513513514|0.034482758620689655|
('via', 'seminal')|1|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
('muestras', 'para')|1|1|1619|9|9|0.0006172839506172839|0.1|0.1|
reconsideración|1|1|1619|12|9|0.0006172839506172839|0.07692307692307693|0.1|
(None, 'evidencia', 'de')|2|2|1618|68|25|0.0012345679012345679|0.02857142857142857|0.038461538461538464|
('del', 'grado', 'de')|1|1|1619|231|37|0.0006172839506172839|0.004310344827586207|0.02631578947368421|
celular|1|1|1619|887|44|0.0006172839506172839|0.0011261261261261261|0.022222222222222223|
('rural', 'de', 'colombia')|1|1|1619|4|4|0.0006172839506172839|0.2|0.2|
('1981-1984', '.')|1|1|1619|3|4|0.0006172839506172839|0.25|0.2|
('multidisciplinario', 'de', 'la')|1|1|1619|15|10|0.0006172839506172839|0.0625|0.09090909090909091|
romero|1|1|1619|7|7|0.0006172839506172839|0.125|0.125|
('artículos', '33')|1|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
('depresivo', 'en')|1|1|1619|19|13|0.0006172839506172839|0.05|0.07142857142857142|
('de', 'próstata', '?')|1|1|1619|44|10|0.0006172839506172839|0.022222222222222223|0.09090909090909091|
('impotencia', '.')|2|2|1618|15|7|0.0012345679012345679|0.11764705882352941|0.125|
('biolarvicida', 'bacillus')|1|1|1619|5|4|0.0006172839506172839|0.16666666666666666|0.2|
('y', 'comportamiento')|1|1|1619|68|24|0.0006172839506172839|0.014492753623188406|0.04|
('próstata', '?', None)|1|1|1619|50|10|0.0006172839506172839|0.0196078431372549|0.09090909090909091|
(None, None, 'efectividad')|5|5|1615|971|47|0.0030864197530864196|0.005122950819672131|0.020833333333333332|
('sequedad', 'vaginal')|1|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
('espermática', '.', None)|2|2|1618|17|10|0.0012345679012345679|0.10526315789473684|0.09090909090909091|
('del', 'papiloma')|2|2|1618|534|25|0.0012345679012345679|0.0037313432835820895|0.038461538461538464|
('fusión', 'gamética')|2|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
(None, None, 'cuantificación')|1|1|1619|228|33|0.0006172839506172839|0.004366812227074236|0.029411764705882353|
('variedades', 'de', 'híbridos')|1|1|1619|0|1|0.0006172839506172839|1.0|0.5|
('spallanzani', 'y', 'la')|1|1|1619|0|1|0.0006172839506172839|1.0|0.5|
('científicas', ',')|1|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
('por', 'parte', 'del')|1|1|1619|19|8|0.0006172839506172839|0.05|0.1111111111111111|
('pronóstico', 'en', 'la')|2|2|1618|87|25|0.0012345679012345679|0.02247191011235955|0.038461538461538464|
('colegio', 'de', 'san')|1|1|1619|9|7|0.0006172839506172839|0.1|0.125|
('adultos', 'jóvenes')|2|2|1618|263|36|0.0012345679012345679|0.007547169811320755|0.02702702702702703|
('el', 'test')|1|1|1619|263|35|0.0006172839506172839|0.003787878787878788|0.027777777777777776|
cancer|4|4|1616|1403|41|0.0024691358024691358|0.0028429282160625444|0.023809523809523808|
('humanas', 'perfundidas', '.')|1|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
('de', 'la', 'consulta')|1|1|1619|106|27|0.0006172839506172839|0.009345794392523364|0.03571428571428571|
('revisión', 'sistemática', 'de')|1|1|1619|236|40|0.0006172839506172839|0.004219409282700422|0.024390243902439025|
('operación', 'cesárea', 'en')|1|1|1619|57|10|0.0006172839506172839|0.017241379310344827|0.09090909090909091|
('usaron', 'el')|1|1|1619|0|1|0.0006172839506172839|1.0|0.5|
(None, 'transformaciones', 'de')|1|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
('nulíparas', '.')|1|1|1619|8|7|0.0006172839506172839|0.1111111111111111|0.125|
('de', 'seguro', 'social')|1|1|1619|24|12|0.0006172839506172839|0.04|0.07692307692307693|
('el', 'caso', 'de')|1|1|1619|240|37|0.0006172839506172839|0.004149377593360996|0.02631578947368421|
('accesibilidad', 'para')|1|1|1619|6|4|0.0006172839506172839|0.14285714285714285|0.2|
('obtención', 'de')|5|5|1615|212|39|0.0030864197530864196|0.02304147465437788|0.025|
(None, None, 'adolescencia')|1|1|1619|20|13|0.0006172839506172839|0.047619047619047616|0.07142857142857142|
('un', 'panorama', 'general')|1|1|1619|5|6|0.0006172839506172839|0.16666666666666666|0.14285714285714285|
('día', '8')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('no', 'quirúrgicos', 'propuestos')|1|1|1619|3|4|0.0006172839506172839|0.25|0.2|
('procesos', 'i', '.')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('que', 'ha')|1|1|1619|28|15|0.0006172839506172839|0.034482758620689655|0.0625|
(None, 'impotencia', 'y')|2|2|1618|5|5|0.0012345679012345679|0.2857142857142857|0.16666666666666666|
('de', 'atención', 'terciaria')|1|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
('fallo', 'mecánico')|1|1|1619|3|4|0.0006172839506172839|0.25|0.2|
('rol', 'de')|1|1|1619|258|38|0.0006172839506172839|0.003861003861003861|0.02564102564102564|
('urológica', 'pediátrica', ':')|1|1|1619|3|4|0.0006172839506172839|0.25|0.2|
(None, 'estradiol')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
cuál|1|1|1619|379|40|0.0006172839506172839|0.002631578947368421|0.024390243902439025|
anopheles|2|2|1618|62|10|0.0012345679012345679|0.03125|0.09090909090909091|
('actualidades', 'sobre', 'microlitiasis')|1|1|1619|5|6|0.0006172839506172839|0.16666666666666666|0.14285714285714285|
(None, None, 'reflexiones')|10|10|1610|457|43|0.006172839506172839|0.021413276231263382|0.022727272727272728|
('torno', 'a', 'la')|1|1|1619|87|30|0.0006172839506172839|0.011363636363636364|0.03225806451612903|
('contra', 'austria', '.')|1|1|1619|0|1|0.0006172839506172839|1.0|0.5|
('clonación', 'terapéutica', 'de')|1|1|1619|0|1|0.0006172839506172839|1.0|0.5|
('menstruales', 'en')|1|1|1619|4|4|0.0006172839506172839|0.2|0.2|
('obra', 'de', 'gaspar')|1|1|1619|4|4|0.0006172839506172839|0.2|0.2|
('anticonceptivos', 'utilizados')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('hidalgo', ',')|1|1|1619|19|10|0.0006172839506172839|0.05|0.09090909090909091|
('promocional', 'de')|1|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
('días', '.', None)|1|1|1619|36|22|0.0006172839506172839|0.02702702702702703|0.043478260869565216|
('manejo', 'de')|8|8|1612|2303|51|0.0049382716049382715|0.0034617048896581565|0.019230769230769232|
('sonograma', 'transabdominal', '.')|1|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
('inmigrantes', 'y', 'autóctonas')|1|1|1619|10|8|0.0006172839506172839|0.09090909090909091|0.1111111111111111|
('experiencia', 'del')|2|2|1618|624|38|0.0012345679012345679|0.003194888178913738|0.02564102564102564|
('propuesta', 'para', 'la')|1|1|1619|28|17|0.0006172839506172839|0.034482758620689655|0.05555555555555555|
('los', '``')|1|1|1619|49|23|0.0006172839506172839|0.02|0.041666666666666664|
(None, 'perfil', 'de')|1|1|1619|302|36|0.0006172839506172839|0.0033003300330033004|0.02702702702702703|
(None, None, 'tendencias')|2|2|1618|425|37|0.0012345679012345679|0.00468384074941452|0.02631578947368421|
(None, None, 'pionero')|1|1|1619|7|8|0.0006172839506172839|0.125|0.1111111111111111|
('resultados', 'de', 'la')|5|5|1615|1201|45|0.0030864197530864196|0.0041459369817578775|0.021739130434782608|
('revisión', 'de', 'la')|5|5|1615|1792|48|0.0030864197530864196|0.0027824151363383415|0.02040816326530612|
('detección', 'del', 'cáncer')|1|1|1619|97|17|0.0006172839506172839|0.01020408163265306|0.05555555555555555|
('disfunción', 'eréctil', 'en')|1|1|1619|52|14|0.0006172839506172839|0.018867924528301886|0.06666666666666667|
brote|1|1|1619|1618|39|0.0006172839506172839|0.0006176652254478073|0.025|
('análisis', 'multifactorial')|2|2|1618|32|14|0.0012345679012345679|0.058823529411764705|0.06666666666666667|
('como', 'mecanismos', 'de')|1|1|1619|4|5|0.0006172839506172839|0.2|0.16666666666666666|
('el', 'androcheck')|1|1|1619|3|4|0.0006172839506172839|0.25|0.2|
simuladores|1|1|1619|22|12|0.0006172839506172839|0.043478260869565216|0.07692307692307693|
('de', 'ovocitos')|6|6|1614|4|4|0.003703703703703704|0.6|0.2|
(None, None, ':')|1|1|1619|170|36|0.0006172839506172839|0.005847953216374269|0.02702702702702703|
('preliminares', 'en')|1|1|1619|76|28|0.0006172839506172839|0.012987012987012988|0.034482758620689655|
(':', 'culicidae')|1|1|1619|102|8|0.0006172839506172839|0.009708737864077669|0.1111111111111111|
('años', 'en', 'un')|1|1|1619|235|37|0.0006172839506172839|0.00423728813559322|0.02631578947368421|
('la', 'experimentación', 'con')|1|1|1619|0|1|0.0006172839506172839|1.0|0.5|
(None, 'uso', 'y')|1|1|1619|73|23|0.0006172839506172839|0.013513513513513514|0.041666666666666664|
('un', 'descenso')|1|1|1619|3|3|0.0006172839506172839|0.25|0.25|
('maestro', 'y', 'escritor')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
tinción|1|1|1619|93|23|0.0006172839506172839|0.010638297872340425|0.041666666666666664|
('histerectomía', '.')|1|1|1619|50|13|0.0006172839506172839|0.0196078431372549|0.07142857142857142|
('se', 'regulan', 'los')|1|1|1619|3|3|0.0006172839506172839|0.25|0.25|
('de', 'yjada', 'o/y')|1|1|1619|3|4|0.0006172839506172839|0.25|0.2|
('médico', '.')|1|1|1619|221|40|0.0006172839506172839|0.0045045045045045045|0.024390243902439025|
('riesgo', 'y', 'anticoncepción')|1|1|1619|3|4|0.0006172839506172839|0.25|0.2|
propuestas|3|3|1617|196|36|0.001851851851851852|0.01507537688442211|0.02702702702702703|
('la', 'clínica', 'andrológica')|2|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
('dolor', 'de')|1|1|1619|90|26|0.0006172839506172839|0.01098901098901099|0.037037037037037035|
(None, 'tendencias', 'en')|1|1|1619|113|26|0.0006172839506172839|0.008771929824561403|0.037037037037037035|
('evaluar', 'la', 'luteinización')|1|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
(None, 'evaluación', 'actual')|2|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
('de', 'trabajo', '.')|1|1|1619|85|25|0.0006172839506172839|0.011627906976744186|0.038461538461538464|
('un', 'trágico', 'suceso')|1|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
habitantes|2|2|1618|113|19|0.0012345679012345679|0.017391304347826087|0.05|
('peso', 'materno', 'y')|1|1|1619|3|4|0.0006172839506172839|0.25|0.2|
('urológicas', 'de')|1|1|1619|27|17|0.0006172839506172839|0.03571428571428571|0.05555555555555555|
('asistida', 'y', 'bioética')|1|1|1619|0|1|0.0006172839506172839|1.0|0.5|
('de', ':')|2|2|1618|69|13|0.0012345679012345679|0.028169014084507043|0.07142857142857142|
casuística|1|1|1619|638|37|0.0006172839506172839|0.001564945226917058|0.02631578947368421|
('cultivos', 'de', 'tejidos')|1|1|1619|13|10|0.0006172839506172839|0.07142857142857142|0.09090909090909091|
rafael|2|2|1618|52|24|0.0012345679012345679|0.037037037037037035|0.04|
(None, None, 'discurso')|1|1|1619|75|19|0.0006172839506172839|0.013157894736842105|0.05|
('molecular', 'deben', 'conformar')|1|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
('técnicas', 'de')|30|30|1590|1035|47|0.018518518518518517|0.028169014084507043|0.020833333333333332|
profesión|1|1|1619|90|21|0.0006172839506172839|0.01098901098901099|0.045454545454545456|
basado|1|1|1619|478|43|0.0006172839506172839|0.0020876826722338203|0.022727272727272728|
republica|3|3|1617|84|21|0.001851851851851852|0.034482758620689655|0.045454545454545456|
práctica|11|11|1609|2971|49|0.006790123456790123|0.003688799463447351|0.02|
(':', 'percepciones', 'de')|1|1|1619|10|5|0.0006172839506172839|0.09090909090909091|0.16666666666666666|
('fertilidad', ':')|1|1|1619|0|1|0.0006172839506172839|1.0|0.5|
('mecanizado', '.')|1|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
(None, 'esterilizacion', 'quirurgica')|2|2|1618|5|5|0.0012345679012345679|0.2857142857142857|0.16666666666666666|
('recurso', 'en')|1|1|1619|16|12|0.0006172839506172839|0.058823529411764705|0.07692307692307693|
('laparoscopia', 'terapéutica')|1|1|1619|4|5|0.0006172839506172839|0.2|0.16666666666666666|
(None, 'cumplimiento')|1|1|1619|162|29|0.0006172839506172839|0.006134969325153374|0.03333333333333333|
('espontánea', 'y')|1|1|1619|21|16|0.0006172839506172839|0.045454545454545456|0.058823529411764705|
('y', 'sexológicos', 'de')|1|1|1619|0|1|0.0006172839506172839|1.0|0.5|
('pacientes', '.', None)|3|3|1617|2985|47|0.001851851851851852|0.001004016064257028|0.020833333333333332|
('el', 'estradiol', 'plasmático')|1|1|1619|0|1|0.0006172839506172839|1.0|0.5|
(None, 'quimiotaxis', 'y')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('singular', 'enfermo', 'urológico')|5|4|1616|10|7|0.0024691358024691358|0.2857142857142857|0.125|
('qué', 'aporta', 'la')|1|1|1619|20|14|0.0006172839506172839|0.047619047619047616|0.06666666666666667|
('sh-14', 'var', 'israelensis')|1|1|1619|3|4|0.0006172839506172839|0.25|0.2|
('estimulante', 'hipófisoóvarica', '.')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('candidiasis', 'vaginal', ':')|1|1|1619|6|5|0.0006172839506172839|0.14285714285714285|0.16666666666666666|
('notable', 'y', 'significativo')|1|1|1619|3|4|0.0006172839506172839|0.25|0.2|
('coagulacion', '.')|1|1|1619|5|6|0.0006172839506172839|0.16666666666666666|0.14285714285714285|
manabi|1|1|1619|3|3|0.0006172839506172839|0.25|0.25|
('ósea', ':', 'un')|1|1|1619|4|5|0.0006172839506172839|0.2|0.16666666666666666|
('1888-1957', ')')|2|2|1618|2|2|0.0012345679012345679|0.5|0.3333333333333333|
('desde', 'la', 'teoria')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('y', 'prácticas', 'de')|1|1|1619|57|21|0.0006172839506172839|0.017241379310344827|0.045454545454545456|
('previa', 'en', 'la')|1|1|1619|34|22|0.0006172839506172839|0.02857142857142857|0.043478260869565216|
('(', 'iii', ')')|3|3|1617|149|30|0.001851851851851852|0.019736842105263157|0.03225806451612903|
('diferentes', '(', '1976-1977')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('es', 'posible', 'una')|1|1|1619|21|13|0.0006172839506172839|0.045454545454545456|0.07142857142857142|
('terminológica', 'al', 'español')|1|1|1619|2|2|0.0006172839506172839|0.3333333333333333|0.3333333333333333|
('efecto', 'sobre')|1|1|1619|187|35|0.0006172839506172839|0.005319148936170213|0.027777777777777776|
b|2|2|1618|2582|44|0.0012345679012345679|0.0007739938080495357|0.022222222222222223|
('tratadas', 'con')|6|6|1614|286|37|0.003703703703703704|0.02054794520547945|0.02631578947368421|
('laparoscopia', '.')|1|1|1619|158|21|0.0006172839506172839|0.006289308176100629|0.045454545454545456|
('la', 'planificación')|7|6|1614|122|31|0.003703703703703704|0.046875|0.03125|
(None, 'a', 'falta')|1|1|1619|0|1|0.0006172839506172839|1.0|0.5|
linea|1|1|1619|33|17|0.0006172839506172839|0.029411764705882353|0.05555555555555555|
litotomista|1|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
desarrollo|18|18|1602|3253|49|0.011111111111111112|0.005502904310608377|0.02|
('editorial', '.', None)|1|1|1619|115|30|0.0006172839506172839|0.008620689655172414|0.03225806451612903|
('estenosis', 'de', 'uretra')|1|1|1619|72|11|0.0006172839506172839|0.0136986301369863|0.08333333333333333|
(None, None, 'importancia')|2|2|1618|1740|49|0.0012345679012345679|0.001148105625717566|0.02|
('para', 'todos')|1|1|1619|99|21|0.0006172839506172839|0.01|0.045454545454545456|
('en', 'parejas', 'que')|1|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
('severidad', 'de')|1|1|1619|121|28|0.0006172839506172839|0.00819672131147541|0.034482758620689655|
(',', 'ético')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('fiv', 'a')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
(None, 'analisis', 'comparativo')|1|1|1619|18|12|0.0006172839506172839|0.05263157894736842|0.07692307692307693|
terminología|3|3|1617|61|24|0.001851851851851852|0.046875|0.04|
personaje|1|1|1619|8|8|0.0006172839506172839|0.1111111111111111|0.1111111111111111|
('pruebas', 'básicas')|1|1|1619|9|9|0.0006172839506172839|0.1|0.1|
pleurotus|1|1|1619|9|3|0.0006172839506172839|0.1|0.25|
('médica', '(', 'aebi')|2|2|1618|6|4|0.0012345679012345679|0.25|0.2|
('estoy', '.', None)|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('de', 'los', 'anticonceptivos')|2|2|1618|31|13|0.0012345679012345679|0.06060606060606061|0.07142857142857142|
('déficits', 'visuales', 'y')|1|1|1619|6|7|0.0006172839506172839|0.14285714285714285|0.125|
('el', 'otoscopio', 'en')|1|1|1619|3|4|0.0006172839506172839|0.25|0.2|
cafe|1|1|1619|0|1|0.0006172839506172839|1.0|0.5|
('mis', 'comienzos')|1|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
('tratamientos', 'de', 'reproducción')|2|2|1618|2|2|0.0012345679012345679|0.5|0.3333333333333333|
('comunitat', 'valenciana', '(')|1|1|1619|6|5|0.0006172839506172839|0.14285714285714285|0.16666666666666666|
urodinámica|2|2|1618|99|16|0.0012345679012345679|0.019801980198019802|0.058823529411764705|
('la', 'declaración')|2|2|1618|70|22|0.0012345679012345679|0.027777777777777776|0.043478260869565216|
reducir|1|1|1619|221|35|0.0006172839506172839|0.0045045045045045045|0.027777777777777776|
total|1|1|1619|1996|44|0.0006172839506172839|0.000500751126690035|0.022222222222222223|
('la', 'pde5', 'en')|1|1|1619|0|1|0.0006172839506172839|1.0|0.5|
(None, None, 'pedro')|1|1|1619|9|7|0.0006172839506172839|0.1|0.125|
('do', 'luis')|2|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
('metodológicas', 'de', 'los')|1|1|1619|7|7|0.0006172839506172839|0.125|0.125|
('de', 'implementar', 'programas')|1|1|1619|3|4|0.0006172839506172839|0.25|0.2|
