Término|Nº occ esp|N(d,e)|N(d,e')|N(d',e)|Et|P(e,d)|P(d,e)|ICC
('cirugía', 'colorrectal', 'asistida')|1|1|292|4|5|0.0034129692832764505|0.2|0.16666666666666666|
(None, 'adelantos', 'en')|1|1|292|34|20|0.0034129692832764505|0.02857142857142857|0.047619047619047616|
('por', 'robot', ':')|1|1|292|25|10|0.0034129692832764505|0.038461538461538464|0.09090909090909091|
('la', 'fisura')|2|2|291|51|12|0.006825938566552901|0.03773584905660377|0.07692307692307693|
('la', 'aplicación')|1|1|292|583|47|0.0034129692832764505|0.0017123287671232876|0.020833333333333332|
('intestinal', 'selectiva', 'en')|1|1|292|6|7|0.0034129692832764505|0.14285714285714285|0.125|
('cáncer', 'cérvico-uterino')|1|1|292|144|18|0.0034129692832764505|0.006896551724137931|0.05263157894736842|
('algunas', 'especialidades')|1|1|292|1|2|0.0034129692832764505|0.5|0.3333333333333333|
('a', 'clipaje')|1|1|292|4|5|0.0034129692832764505|0.2|0.16666666666666666|
colombia|2|2|291|2711|46|0.006825938566552901|0.0007371913011426465|0.02127659574468085|
('maligna', 'por')|1|1|292|15|12|0.0034129692832764505|0.0625|0.07692307692307693|
('de', 'una', 'vía')|1|1|292|80|22|0.0034129692832764505|0.012345679012345678|0.043478260869565216|
('análisis', 'y', 'descripción')|1|1|292|2|3|0.0034129692832764505|0.3333333333333333|0.25|
(None, 'su', 'utilización')|1|1|292|8|8|0.0034129692832764505|0.1111111111111111|0.1111111111111111|
('galicia', '.')|1|1|292|151|37|0.0034129692832764505|0.006578947368421052|0.02631578947368421|
('locorregional', 'del', 'cáncer')|2|2|291|10|6|0.006825938566552901|0.16666666666666666|0.14285714285714285|
('médicos', 'especialistas')|1|1|292|51|26|0.0034129692832764505|0.019230769230769232|0.037037037037037035|
('estudio', 'aleatorizado')|1|1|292|103|29|0.0034129692832764505|0.009615384615384616|0.03333333333333333|
(None, None, 'erfahrungen')|1|1|292|3|4|0.0034129692832764505|0.25|0.2|
('superficial', 'del', 'esfínter')|1|1|292|3|4|0.0034129692832764505|0.25|0.2|
('hospital', 'universitario')|1|1|292|900|42|0.0034129692832764505|0.0011098779134295228|0.023255813953488372|
discapacidad|1|1|292|450|31|0.0034129692832764505|0.0022172949002217295|0.03125|
('de', 'discapacidad')|1|1|292|57|16|0.0034129692832764505|0.017241379310344827|0.058823529411764705|
('primeros', 'textos')|1|1|292|5|6|0.0034129692832764505|0.16666666666666666|0.14285714285714285|
('postoperatorio', 'inmediato', '.')|1|1|292|44|22|0.0034129692832764505|0.022222222222222223|0.043478260869565216|
('anastomosis', 'pélvica')|1|1|292|2|3|0.0034129692832764505|0.3333333333333333|0.25|
latinoamérica|1|1|292|254|34|0.0034129692832764505|0.00392156862745098|0.02857142857142857|
('tumores', 'neonatales', ':')|1|1|292|11|9|0.0034129692832764505|0.08333333333333333|0.1|
('anastomosis', 'colorrectal')|1|1|292|11|8|0.0034129692832764505|0.08333333333333333|0.1111111111111111|
(None, 'análisis')|8|8|285|8391|51|0.027303754266211604|0.0009524943445648292|0.019230769230769232|
('notas', 'de', 'proctología')|5|5|288|6|4|0.017064846416382253|0.45454545454545453|0.2|
('con', 'fístula')|1|1|292|18|13|0.0034129692832764505|0.05263157894736842|0.07142857142857142|
('cirugía', 'endocrina', 'en')|1|1|292|3|3|0.0034129692832764505|0.25|0.25|
('(', '1931-2014')|1|1|292|0|1|0.0034129692832764505|1.0|0.5|
('de', 'la', 'gastroenterología')|1|1|292|27|8|0.0034129692832764505|0.03571428571428571|0.1111111111111111|
('proctología', '.')|6|6|287|21|6|0.020477815699658702|0.2222222222222222|0.14285714285714285|
('anal', 'b', ')')|1|1|292|3|4|0.0034129692832764505|0.25|0.2|
('o', 'caliente', '?')|1|1|292|4|5|0.0034129692832764505|0.2|0.16666666666666666|
('básico', '.')|1|1|292|19|12|0.0034129692832764505|0.05|0.07692307692307693|
('la', 'especialidad', 'de')|1|1|292|85|29|0.0034129692832764505|0.011627906976744186|0.03333333333333333|
('faget', 'y', 'la')|1|1|292|2|3|0.0034129692832764505|0.3333333333333333|0.25|
('colombia', '.', None)|1|1|292|1715|45|0.0034129692832764505|0.0005827505827505828|0.021739130434782608|
('colorectal', 'surgery')|1|1|292|5|6|0.0034129692832764505|0.16666666666666666|0.14285714285714285|
('un', 'centro')|2|2|291|1914|44|0.006825938566552901|0.0010438413361169101|0.022222222222222223|
('sometidos', 'a')|4|4|289|1470|45|0.013651877133105802|0.0027137042062415195|0.021739130434782608|
('ginecológica', 'benigna', 'y')|1|1|292|6|7|0.0034129692832764505|0.14285714285714285|0.125|
('en', 'coloproctología', 'en')|1|1|292|0|1|0.0034129692832764505|1.0|0.5|
('definitivos', 'en', 'cáncer')|1|1|292|6|7|0.0034129692832764505|0.14285714285714285|0.125|
('está', 'en')|1|1|292|22|13|0.0034129692832764505|0.043478260869565216|0.07142857142857142|
('sanitarios', '.')|1|1|292|159|31|0.0034129692832764505|0.00625|0.03125|
('proctologia', 'en', 'las')|1|1|292|0|1|0.0034129692832764505|1.0|0.5|
(None, 'proctología')|3|3|290|8|7|0.010238907849829351|0.2727272727272727|0.125|
('diverticular', 'de', 'colon')|1|1|292|9|6|0.0034129692832764505|0.1|0.14285714285714285|
cirugia|6|6|287|780|39|0.020477815699658702|0.007633587786259542|0.025|
metabolismo|1|1|292|1131|41|0.0034129692832764505|0.0008833922261484099|0.023809523809523808|
mastoidectomía|1|1|292|24|10|0.0034129692832764505|0.04|0.09090909090909091|
coloproctología|6|5|288|18|7|0.017064846416382253|0.21739130434782608|0.125|
('preparación', 'intestinal')|1|1|292|20|8|0.0034129692832764505|0.047619047619047616|0.1111111111111111|
('artroscopía', 'de', 'la')|1|1|292|4|5|0.0034129692832764505|0.2|0.16666666666666666|
('en', 'cirugía', 'endocrina')|1|1|292|3|3|0.0034129692832764505|0.25|0.25|
generales|1|1|292|749|45|0.0034129692832764505|0.0013333333333333333|0.021739130434782608|
beneficiadas|1|1|292|4|5|0.0034129692832764505|0.2|0.16666666666666666|
('medio', '.', None)|1|1|292|493|39|0.0034129692832764505|0.0020242914979757085|0.025|
('sobre', 'el', 'empleo')|1|1|292|53|28|0.0034129692832764505|0.018518518518518517|0.034482758620689655|
('la', 'reconstrucción')|1|1|292|152|20|0.0034129692832764505|0.006535947712418301|0.047619047619047616|
grado|1|1|292|1604|48|0.0034129692832764505|0.0006230529595015577|0.02040816326530612|
('cirugía', 'ótica', '(')|1|1|292|2|3|0.0034129692832764505|0.3333333333333333|0.25|
(None, 'trastornos', 'del')|1|1|292|209|30|0.0034129692832764505|0.004761904761904762|0.03225806451612903|
('infantil', ',', 'una')|1|1|292|6|6|0.0034129692832764505|0.14285714285714285|0.14285714285714285|
(None, 'pólipos', 'de')|1|1|292|37|12|0.0034129692832764505|0.02631578947368421|0.07692307692307693|
('editorial', '.', None)|1|1|292|115|30|0.0034129692832764505|0.008620689655172414|0.03225806451612903|
('de', 'un', 'centro')|1|1|292|417|37|0.0034129692832764505|0.0023923444976076554|0.02631578947368421|
(None, None, 'hernia')|1|1|292|212|29|0.0034129692832764505|0.004694835680751174|0.03333333333333333|
('cáncer', 'cérvico-uterino', '.')|1|1|292|50|16|0.0034129692832764505|0.0196078431372549|0.058823529411764705|
('cuello', 'uterino')|1|1|292|1028|23|0.0034129692832764505|0.0009718172983479105|0.041666666666666664|
(None, 'cirugía', 'maxilofacial')|1|1|292|9|9|0.0034129692832764505|0.1|0.1|
('quirúrgica', 'proctológica')|1|1|292|1|2|0.0034129692832764505|0.5|0.3333333333333333|
ganglio|2|2|291|900|31|0.006825938566552901|0.0022172949002217295|0.03125|
('análisis', 'de')|5|5|288|7597|50|0.017064846416382253|0.0006577216521967903|0.0196078431372549|
('la', 'asociación')|4|3|290|757|42|0.010238907849829351|0.003947368421052632|0.023255813953488372|
('prótesis', 'en')|1|1|292|28|17|0.0034129692832764505|0.034482758620689655|0.05555555555555555|
('a', 'un')|1|1|292|850|48|0.0034129692832764505|0.0011750881316098707|0.02040816326530612|
('farmacoterapéuticos', 'en', 'una')|1|1|292|2|3|0.0034129692832764505|0.3333333333333333|0.25|
(None, None, 'impacto')|3|3|290|2136|47|0.010238907849829351|0.001402524544179523|0.020833333333333332|
('abordaje', 'laparoscópico')|3|3|290|67|17|0.010238907849829351|0.04285714285714286|0.05555555555555555|
(None, 'utilización')|1|1|292|1055|46|0.0034129692832764505|0.000946969696969697|0.02127659574468085|
('de', 'colágeno', '(')|1|1|292|2|3|0.0034129692832764505|0.3333333333333333|0.25|
('un', 'indicador')|1|1|292|49|14|0.0034129692832764505|0.02|0.06666666666666667|
('del', 'período')|1|1|292|80|28|0.0034129692832764505|0.012345679012345678|0.034482758620689655|
('años', 'sometidos')|1|1|292|10|8|0.0034129692832764505|0.09090909090909091|0.1111111111111111|
('paciente', 'de')|1|1|292|130|33|0.0034129692832764505|0.007633587786259542|0.029411764705882353|
(None, None, 'anestesia')|3|3|290|738|37|0.010238907849829351|0.004048582995951417|0.02631578947368421|
('centro', '.')|1|1|292|226|33|0.0034129692832764505|0.004405286343612335|0.029411764705882353|
('.', None, None)|355|285|8|452721|51|0.9726962457337884|0.0006291307399901988|0.019230769230769232|
('laparoscópico', 'en')|1|1|292|42|15|0.0034129692832764505|0.023255813953488372|0.0625|
('en', 'formación', 'quirúrgica')|1|1|292|3|4|0.0034129692832764505|0.25|0.2|
('300', 'pacientes')|1|1|292|43|15|0.0034129692832764505|0.022727272727272728|0.0625|
('los', 'resultados', 'clínicos')|1|1|292|43|16|0.0034129692832764505|0.022727272727272728|0.058823529411764705|
pediátricos|1|1|292|1298|45|0.0034129692832764505|0.0007698229407236335|0.021739130434782608|
('a', 'la', 'cirugía')|1|1|292|137|28|0.0034129692832764505|0.007246376811594203|0.034482758620689655|
(None, None, 'síntomas')|1|1|292|229|33|0.0034129692832764505|0.004347826086956522|0.029411764705882353|
('cáncer', 'de', 'cuello')|1|1|292|234|19|0.0034129692832764505|0.00425531914893617|0.05|
('para', 'profilaxis')|2|2|291|16|9|0.006825938566552901|0.1111111111111111|0.1|
('en', 'cáncer', 'gástrico')|1|1|292|108|13|0.0034129692832764505|0.009174311926605505|0.07142857142857142|
('sistemática', 'de')|1|1|292|322|43|0.0034129692832764505|0.0030959752321981426|0.022727272727272728|
('limpieza', 'del', 'cepillo')|1|1|292|2|3|0.0034129692832764505|0.3333333333333333|0.25|
('de', 'riesgo', 'relacionados')|1|1|292|62|20|0.0034129692832764505|0.015873015873015872|0.047619047619047616|
('chirurgia', 'pediatrica', 'di')|1|1|292|2|3|0.0034129692832764505|0.3333333333333333|0.25|
(None, None, 'infección')|3|3|290|2202|45|0.010238907849829351|0.0013605442176870747|0.021739130434782608|
('cirugía', 'colorrectal', 'no')|1|1|292|6|7|0.0034129692832764505|0.14285714285714285|0.125|
('biomecánica', 'de', 'la')|1|1|292|13|9|0.0034129692832764505|0.07142857142857142|0.1|
('hernia', 'incisional')|3|3|290|25|7|0.010238907849829351|0.10714285714285714|0.125|
('en', 'unidad', 'médica')|1|1|292|8|9|0.0034129692832764505|0.1111111111111111|0.1|
(None, 'utility', 'of')|1|1|292|5|6|0.0034129692832764505|0.16666666666666666|0.14285714285714285|
('pélvico', '.', None)|1|1|292|88|24|0.0034129692832764505|0.011235955056179775|0.04|
('complicaciones', 'del')|1|1|292|183|31|0.0034129692832764505|0.005434782608695652|0.03125|
('y', 'observacional')|1|1|292|21|12|0.0034129692832764505|0.045454545454545456|0.07692307692307693|
('dirigida', 'a', 'especialistas')|1|1|292|3|4|0.0034129692832764505|0.25|0.2|
('de', 'la', 'asociación')|3|2|291|513|39|0.006825938566552901|0.003883495145631068|0.025|
('con', 'el', 'hábito')|1|1|292|17|10|0.0034129692832764505|0.05555555555555555|0.09090909090909091|
('tratamientos', 'clásicos', '.')|1|1|292|2|3|0.0034129692832764505|0.3333333333333333|0.25|
('ética', 'y', 'cirujanos')|1|1|292|0|1|0.0034129692832764505|1.0|0.5|
agua|1|1|292|665|40|0.0034129692832764505|0.0015015015015015015|0.024390243902439025|
('de', 'mama', 'y')|1|1|292|311|29|0.0034129692832764505|0.003205128205128205|0.03333333333333333|
('y', 'cuello')|2|2|291|543|31|0.006825938566552901|0.003669724770642202|0.03125|
('satisfacción', 'de', 'los')|1|1|292|161|29|0.0034129692832764505|0.006172839506172839|0.03333333333333333|
('posquirúrgicos', 'y')|1|1|292|3|4|0.0034129692832764505|0.25|0.2|
('miembro', 'superior', 'en')|1|1|292|20|13|0.0034129692832764505|0.047619047619047616|0.07142857142857142|
('justificación', 'de', 'un')|1|1|292|8|9|0.0034129692832764505|0.1111111111111111|0.1|
('y', 'estado', 'actual')|1|1|292|89|32|0.0034129692832764505|0.011111111111111112|0.030303030303030304|
('estrés', 'laboral', 'en')|1|1|292|11|5|0.0034129692832764505|0.08333333333333333|0.16666666666666666|
('nnis', ')')|1|1|292|6|5|0.0034129692832764505|0.14285714285714285|0.16666666666666666|
('estadificación', 'previa')|1|1|292|5|6|0.0034129692832764505|0.16666666666666666|0.14285714285714285|
('clip', 'con', 'el')|1|1|292|4|5|0.0034129692832764505|0.2|0.16666666666666666|
('circuito', 'de', 'alta')|1|1|292|3|4|0.0034129692832764505|0.25|0.2|
(None, 'cirugía')|16|16|277|2739|43|0.05460750853242321|0.005807622504537205|0.022727272727272728|
('impresiones', 'de')|1|1|292|14|9|0.0034129692832764505|0.06666666666666667|0.1|
('formar', 'unidades', 'funcionales')|1|1|292|1|2|0.0034129692832764505|0.5|0.3333333333333333|
mastoidea|1|1|292|11|8|0.0034129692832764505|0.08333333333333333|0.1111111111111111|
('antiguo', 'egipto', '.')|1|1|292|5|5|0.0034129692832764505|0.16666666666666666|0.16666666666666666|
('resolución', 'en', 'el')|1|1|292|14|9|0.0034129692832764505|0.06666666666666667|0.1|
familiar|1|1|292|2265|43|0.0034129692832764505|0.000441306266548985|0.022727272727272728|
('años', 'y')|1|1|292|174|33|0.0034129692832764505|0.005714285714285714|0.029411764705882353|
('sin', 'collarín', 'cervical')|1|1|292|2|3|0.0034129692832764505|0.3333333333333333|0.25|
(None, 'funciones', 'de')|1|1|292|16|12|0.0034129692832764505|0.058823529411764705|0.07692307692307693|
('¿', 'cómo', 'disminuir')|1|1|292|3|4|0.0034129692832764505|0.25|0.2|
('trastornos', 'del')|1|1|292|641|38|0.0034129692832764505|0.001557632398753894|0.02564102564102564|
entre|4|4|289|9493|51|0.013651877133105802|0.0004211856375697589|0.019230769230769232|
ccp|1|1|292|2|3|0.0034129692832764505|0.3333333333333333|0.25|
('del', 'esfínter', 'externo')|1|1|292|4|5|0.0034129692832764505|0.2|0.16666666666666666|
inducidos|1|1|292|126|26|0.0034129692832764505|0.007874015748031496|0.037037037037037035|
(None, 'historia')|2|2|291|602|47|0.006825938566552901|0.0033112582781456954|0.020833333333333332|
prolongada|1|1|292|457|43|0.0034129692832764505|0.002183406113537118|0.022727272727272728|
('de', '3')|8|2|291|412|41|0.006825938566552901|0.004830917874396135|0.023809523809523808|
('y', 'fracaso')|1|1|292|59|24|0.0034129692832764505|0.016666666666666666|0.04|
('con', 'contraste')|1|1|292|72|22|0.0034129692832764505|0.0136986301369863|0.043478260869565216|
('un', 'sistema')|1|1|292|477|45|0.0034129692832764505|0.0020920502092050207|0.021739130434782608|
blandas|1|1|292|172|28|0.0034129692832764505|0.005780346820809248|0.034482758620689655|
('y', 'rectocolitis')|2|2|291|2|2|0.006825938566552901|0.5|0.3333333333333333|
('cáncer', 'colorrectal', '.')|5|5|288|662|21|0.017064846416382253|0.0074962518740629685|0.045454545454545456|
('placas', 'absorbibles', 'para')|1|1|292|6|4|0.0034129692832764505|0.14285714285714285|0.2|
('colitis', '.')|1|1|292|8|7|0.0034129692832764505|0.1111111111111111|0.125|
('estudio', 'de', 'factibilidad')|1|1|292|20|14|0.0034129692832764505|0.047619047619047616|0.06666666666666667|
('período', '2005-2008')|1|1|292|1|2|0.0034129692832764505|0.5|0.3333333333333333|
('sociedad', 'española')|1|1|292|1234|46|0.0034129692832764505|0.0008097165991902834|0.02127659574468085|
forma|2|2|291|967|43|0.006825938566552901|0.0020639834881320948|0.022727272727272728|
('semiologia', 'anorrectal')|1|1|292|1|2|0.0034129692832764505|0.5|0.3333333333333333|
('hospital', 'general')|1|1|292|1297|48|0.0034129692832764505|0.0007704160246533128|0.02040816326530612|
('(', 'estudio')|1|1|292|746|40|0.0034129692832764505|0.0013386880856760374|0.024390243902439025|
('los', 'resultados')|7|7|286|1055|46|0.023890784982935155|0.006591337099811676|0.02127659574468085|
('técnica', 'quirúrgica')|1|1|292|288|31|0.0034129692832764505|0.0034602076124567475|0.03125|
nuestra|3|3|290|3735|49|0.010238907849829351|0.0008025682182985554|0.02|
('asocian', 'a')|1|1|292|23|14|0.0034129692832764505|0.041666666666666664|0.06666666666666667|
('la', 'cirugía', 'transanal')|1|1|292|0|1|0.0034129692832764505|1.0|0.5|
('tributaria', 'de')|1|1|292|4|5|0.0034129692832764505|0.2|0.16666666666666666|
('cirugía', 'asistida', 'por')|1|1|292|12|9|0.0034129692832764505|0.07692307692307693|0.1|
('de', 'mortalidad', 'postoperatoria')|1|1|292|7|7|0.0034129692832764505|0.125|0.125|
poliomielitis|1|1|292|667|29|0.0034129692832764505|0.0014970059880239522|0.03333333333333333|
tránsito|1|1|292|220|28|0.0034129692832764505|0.004524886877828055|0.034482758620689655|
(';', 'consideraciones')|1|1|292|256|36|0.0034129692832764505|0.0038910505836575876|0.02702702702702703|
gastroenterología|1|1|292|459|34|0.0034129692832764505|0.002173913043478261|0.02857142857142857|
('evidencia', 'de')|1|1|292|170|31|0.0034129692832764505|0.005847953216374269|0.03125|
('al', 'cambio')|1|1|292|39|14|0.0034129692832764505|0.025|0.06666666666666667|
('a', 'cirugía', 'oncológica')|1|1|292|7|8|0.0034129692832764505|0.125|0.1111111111111111|
('colgajo', 'de')|1|1|292|43|15|0.0034129692832764505|0.022727272727272728|0.0625|
('tradición', '?', None)|1|1|292|2|3|0.0034129692832764505|0.3333333333333333|0.25|
('de', 'recidiva', 'local')|1|1|292|8|7|0.0034129692832764505|0.1111111111111111|0.125|
unidad|6|6|287|3123|49|0.020477815699658702|0.0019175455417066154|0.02|
('enfermedades', 'del')|7|7|286|353|39|0.023890784982935155|0.019444444444444445|0.025|
('un', 'hospital', 'de')|2|2|291|1641|44|0.006825938566552901|0.0012172854534388314|0.022222222222222223|
('y', 'complicaciones')|1|1|292|733|43|0.0034129692832764505|0.0013623978201634877|0.022727272727272728|
('perquirúrgicas', 'de', 'la')|1|1|292|5|6|0.0034129692832764505|0.16666666666666666|0.14285714285714285|
('vida', 'en', 'mujeres')|1|1|292|27|12|0.0034129692832764505|0.03571428571428571|0.07692307692307693|
autopsia|1|1|292|168|25|0.0034129692832764505|0.005917159763313609|0.038461538461538464|
todo|1|1|292|168|38|0.0034129692832764505|0.005917159763313609|0.02564102564102564|
('profilaxis', 'y')|2|2|291|141|29|0.006825938566552901|0.013986013986013986|0.03333333333333333|
utilidad|2|2|291|5920|50|0.006825938566552901|0.00033772374197906115|0.0196078431372549|
('juan', 'voltas')|1|1|292|0|1|0.0034129692832764505|1.0|0.5|
(None, None, 'lecciones')|1|1|292|39|20|0.0034129692832764505|0.025|0.047619047619047616|
('méxico', '.')|5|5|288|4774|51|0.017064846416382253|0.0010462439840970914|0.019230769230769232|
('colorrectales', 'laparoscópicos', '.')|1|1|292|2|3|0.0034129692832764505|0.3333333333333333|0.25|
('planificación', 'en')|1|1|292|12|10|0.0034129692832764505|0.07692307692307693|0.09090909090909091|
('amputación', 'abdominoperineal', '.')|1|1|292|6|7|0.0034129692832764505|0.14285714285714285|0.125|
santiago|1|1|292|1258|40|0.0034129692832764505|0.0007942811755361397|0.024390243902439025|
('demandas', 'de', 'la')|1|1|292|4|5|0.0034129692832764505|0.2|0.16666666666666666|
('acreditadas', 'por', 'la')|1|1|292|5|6|0.0034129692832764505|0.16666666666666666|0.14285714285714285|
('médicos', 'en', 'formación')|1|1|292|7|7|0.0034129692832764505|0.125|0.125|
¿|8|8|285|5792|50|0.027303754266211604|0.001379310344827586|0.0196078431372549|
('cómo', 'disminuir')|1|1|292|8|8|0.0034129692832764505|0.1111111111111111|0.1111111111111111|
('para', 'prevenir')|1|1|292|228|37|0.0034129692832764505|0.004366812227074236|0.02631578947368421|
(None, 'lecciones', 'aprendidas')|1|1|292|11|10|0.0034129692832764505|0.08333333333333333|0.09090909090909091|
experiencia|13|13|280|12195|51|0.04436860068259386|0.0010648754914809962|0.019230769230769232|
(',', 'sometidos', 'a')|1|1|292|21|13|0.0034129692832764505|0.045454545454545456|0.07142857142857142|
('modelo', 'médico', 'de')|1|1|292|3|4|0.0034129692832764505|0.25|0.2|
('enero-diciembre', ',')|1|1|292|2|3|0.0034129692832764505|0.3333333333333333|0.25|
('del', 'recto')|1|1|292|182|21|0.0034129692832764505|0.00546448087431694|0.045454545454545456|
('cirugía', 'pediátrica', ':')|1|1|292|9|5|0.0034129692832764505|0.1|0.16666666666666666|
('tras', 'prostatectomía')|1|1|292|97|13|0.0034129692832764505|0.01020408163265306|0.07142857142857142|
('terapia', 'endoscópica')|1|1|292|9|6|0.0034129692832764505|0.1|0.14285714285714285|
('con', 'características', 'socio-demográficas')|1|1|292|5|6|0.0034129692832764505|0.16666666666666666|0.14285714285714285|
('del', 'tratamiento', 'de')|1|1|292|745|40|0.0034129692832764505|0.0013404825737265416|0.024390243902439025|
correlación|1|1|292|2863|44|0.0034129692832764505|0.00034916201117318437|0.022222222222222223|
geburtshilfe|1|1|292|3|4|0.0034129692832764505|0.25|0.2|
('tratamiento', 'quirúrgico', 'del')|3|3|290|761|33|0.010238907849829351|0.003926701570680628|0.029411764705882353|
efecto|3|3|290|4467|50|0.010238907849829351|0.0006711409395973154|0.0196078431372549|
(None, 'dosis')|1|1|292|101|29|0.0034129692832764505|0.00980392156862745|0.03333333333333333|
('inducidos', 'por', 'la')|1|1|292|19|10|0.0034129692832764505|0.05|0.09090909090909091|
('en', 'cadáver', '.')|1|1|292|14|6|0.0034129692832764505|0.06666666666666667|0.14285714285714285|
('de', 'colgajo', 'de')|1|1|292|2|3|0.0034129692832764505|0.3333333333333333|0.25|
(None, 'estudio', 'observacional')|1|1|292|130|25|0.0034129692832764505|0.007633587786259542|0.038461538461538464|
('grupo', 'de', 'estudios')|1|1|292|13|8|0.0034129692832764505|0.07142857142857142|0.1111111111111111|
reconsiderar|1|1|292|14|10|0.0034129692832764505|0.06666666666666667|0.09090909090909091|
irrigación|1|1|292|61|19|0.0034129692832764505|0.016129032258064516|0.05|
('abordaje', 'quirúrgico', 'de')|1|1|292|17|12|0.0034129692832764505|0.05555555555555555|0.07692307692307693|
('proctología', 'de', 'urgencia')|1|1|292|2|3|0.0034129692832764505|0.3333333333333333|0.25|
('engrapado', 'en', 'cirugía')|1|1|292|7|8|0.0034129692832764505|0.125|0.1111111111111111|
('la', 'proctología')|5|5|288|6|6|0.017064846416382253|0.45454545454545453|0.14285714285714285|
(None, 'la', 'técnica')|1|1|292|41|21|0.0034129692832764505|0.023809523809523808|0.045454545454545456|
('de', 'unidades', 'acreditadas')|1|1|292|5|6|0.0034129692832764505|0.16666666666666666|0.14285714285714285|
('pacientes', 'mayores', 'de')|1|1|292|429|34|0.0034129692832764505|0.002325581395348837|0.02857142857142857|
(None, 'la', 'acreditación')|1|1|292|1|2|0.0034129692832764505|0.5|0.3333333333333333|
única|2|2|291|417|44|0.006825938566552901|0.00477326968973747|0.022222222222222223|
('departamento', 'pediatrico', 'en')|1|1|292|1|2|0.0034129692832764505|0.5|0.3333333333333333|
('multimodal', '.', None)|2|2|291|19|14|0.006825938566552901|0.09523809523809523|0.06666666666666667|
('y', 'seguridad')|1|1|292|669|45|0.0034129692832764505|0.0014925373134328358|0.021739130434782608|
nervioso|1|1|292|976|41|0.0034129692832764505|0.0010235414534288639|0.023809523809523808|
revisión|8|8|285|8092|51|0.027303754266211604|0.0009876543209876543|0.019230769230769232|
('de', 'la', 'fisura')|2|2|291|38|10|0.006825938566552901|0.05|0.09090909090909091|
('hospitalaria', 'prolongada', '.')|1|1|292|4|5|0.0034129692832764505|0.2|0.16666666666666666|
(None, 'cirugía', 'colorrectal')|5|5|288|22|8|0.017064846416382253|0.18518518518518517|0.1111111111111111|
('anastomosis', 'manual')|1|1|292|6|6|0.0034129692832764505|0.14285714285714285|0.14285714285714285|
comunitaria|1|1|292|593|39|0.0034129692832764505|0.0016835016835016834|0.025|
(None, None, 'aproximación')|1|1|292|300|42|0.0034129692832764505|0.0033222591362126247|0.023255813953488372|
('la', 'formación', 'del')|1|1|292|95|25|0.0034129692832764505|0.010416666666666666|0.038461538461538464|
('plug', 'de', 'colágeno')|1|1|292|2|3|0.0034129692832764505|0.3333333333333333|0.25|
('más', 'de')|4|2|291|313|41|0.006825938566552901|0.006349206349206349|0.023809523809523808|
('monodosis', 'antibiótica', 'preoperatoria')|1|1|292|2|3|0.0034129692832764505|0.3333333333333333|0.25|
mejorado|1|1|292|25|15|0.0034129692832764505|0.038461538461538464|0.0625|
('cirugía', 'colorrectal', ':')|3|3|290|8|6|0.010238907849829351|0.2727272727272727|0.14285714285714285|
(None, 'utilidad', 'de')|2|2|291|2838|48|0.006825938566552901|0.0007042253521126761|0.02040816326530612|
('la', 'asociación', 'española')|4|3|290|240|30|0.010238907849829351|0.012345679012345678|0.03225806451612903|
('pacientes', '.')|4|4|289|2984|47|0.013651877133105802|0.0013386880856760374|0.020833333333333332|
('actual', 'de', 'la')|4|4|289|1171|46|0.013651877133105802|0.003404255319148936|0.02127659574468085|
('hepática', '.', None)|1|1|292|658|37|0.0034129692832764505|0.0015174506828528073|0.02631578947368421|
('reconsiderar', 'la', 'microcirugía')|1|1|292|3|4|0.0034129692832764505|0.25|0.2|
(None, None, 'john')|1|1|292|11|8|0.0034129692832764505|0.08333333333333333|0.1111111111111111|
('incontinencia', 'anal')|1|1|292|28|11|0.0034129692832764505|0.034482758620689655|0.08333333333333333|
('oaxaca', '.')|1|1|292|42|18|0.0034129692832764505|0.023255813953488372|0.05263157894736842|
('viaje', '.')|1|1|292|4|5|0.0034129692832764505|0.2|0.16666666666666666|
('de', 'la', 'curva')|1|1|292|86|29|0.0034129692832764505|0.011494252873563218|0.03333333333333333|
('empleo', 'de', 'la')|2|2|291|208|37|0.006825938566552901|0.009523809523809525|0.02631578947368421|
('un', 'paciente')|1|1|292|414|42|0.0034129692832764505|0.0024096385542168677|0.023255813953488372|
(None, 'la', 'responsabilidad')|1|1|292|43|22|0.0034129692832764505|0.022727272727272728|0.043478260869565216|
(',', 'técnica')|1|1|292|89|27|0.0034129692832764505|0.011111111111111112|0.03571428571428571|
('una', 'experiencia', 'en')|1|1|292|43|17|0.0034129692832764505|0.022727272727272728|0.05555555555555555|
('en', 'niños')|1|1|292|7077|50|0.0034129692832764505|0.00014128284826222097|0.0196078431372549|
('nosocomial', 'infection')|1|1|292|6|5|0.0034129692832764505|0.14285714285714285|0.16666666666666666|
4%|1|1|292|9|6|0.0034129692832764505|0.1|0.14285714285714285|
('prevenir', 'las', 'lesiones')|1|1|292|1|2|0.0034129692832764505|0.5|0.3333333333333333|
cuándo|1|1|292|411|42|0.0034129692832764505|0.0024271844660194173|0.023255813953488372|
('y', 'resultados', 'de')|2|2|291|291|38|0.006825938566552901|0.006825938566552901|0.02564102564102564|
(None, None, 'diseño')|1|1|292|347|40|0.0034129692832764505|0.0028735632183908046|0.024390243902439025|
('fijación', 'interna', 'en')|1|1|292|6|4|0.0034129692832764505|0.14285714285714285|0.2|
